framework                        , test                                                         , time    
solid-next-h5                    , createSignals                                                , 74.03   
solid-next-h5                    , createComputations                                           , 538.94  
solid-next-h5                    , updateSignals                                                , 3096.34 
solid-next-h5                    , avoidablePropagation                                         , 645.25  
solid-next-h5                    , broadPropagation                                             , 832.11  
solid-next-h5                    , deepPropagation                                              , 285.46  
solid-next-h5                    , diamond                                                      , 675.30  
solid-next-h5                    , mux                                                          , 312.22  
solid-next-h5                    , repeatedObservers                                            , 118.66  
solid-next-h5                    , triangle                                                     , 211.43  
solid-next-h5                    , unstable                                                     , 172.28  
solid-next-h5                    , molBench                                                     , 53.50   
solid-next-h5                    , cellx1000                                                    , 47.99   
solid-next-h5                    , cellx2500                                                    , 164.59  
solid-next-h5                    , 2-10x5 - lazy80%                                             , 3285.75 
Assertion failed: count solid-next-h5 undefined result:8400000 expected:3480000
solid-next-h5                    , 6-10x10 - dyn25% - lazy80%                                   , 855.87  
Assertion failed: count solid-next-h5 undefined result:1290000 expected:1155000
solid-next-h5                    , 4-1000x12 - dyn5%                                            , 1878.64 
solid-next-h5                    , 25-1000x5                                                    , 2261.37 
solid-next-h5                    , 3-5x500                                                      , 575.25  
solid-next-h5                    , 6-100x15 - dyn50%                                            , 893.52  
