framework                        , test                                                         , time    
solid-next-r1b                   , createSignals                                                , 66.11   
solid-next-r1b                   , createComputations                                           , 647.32  
solid-next-r1b                   , updateSignals                                                , 3281.88 
solid-next-r1b                   , avoidablePropagation                                         , 641.66  
solid-next-r1b                   , broadPropagation                                             , 951.70  
solid-next-r1b                   , deepPropagation                                              , 300.15  
solid-next-r1b                   , diamond                                                      , 714.85  
solid-next-r1b                   , mux                                                          , 323.49  
solid-next-r1b                   , repeatedObservers                                            , 117.19  
solid-next-r1b                   , triangle                                                     , 224.58  
solid-next-r1b                   , unstable                                                     , 180.22  
solid-next-r1b                   , molBench                                                     , 53.79   
solid-next-r1b                   , cellx1000                                                    , 50.92   
solid-next-r1b                   , cellx2500                                                    , 167.44  
solid-next-r1b                   , 2-10x5 - lazy80%                                             , 3428.38 
Assertion failed: count solid-next-r1b undefined result:8400000 expected:3480000
solid-next-r1b                   , 6-10x10 - dyn25% - lazy80%                                   , 928.77  
Assertion failed: count solid-next-r1b undefined result:1290000 expected:1155000
solid-next-r1b                   , 4-1000x12 - dyn5%                                            , 1919.08 
solid-next-r1b                   , 25-1000x5                                                    , 2480.92 
solid-next-r1b                   , 3-5x500                                                      , 615.36  
solid-next-r1b                   , 6-100x15 - dyn50%                                            , 896.14  
